,EC-NUMBER,SUBSTRATES,PRODUCTS,GIBBS
8188,EC-3.1.4,"['IPC', 'WATER']","['Alpha-hydroxyphytoceramides', 'D-MYO-INOSITOL-1-MONOPHOSPHATE', 'PROTON']", 107.12008999999999
8189,EC-3.1.4,"['MIPC', 'WATER']","['Alpha-hydroxyphytoceramides', 'CPD-14767', 'PROTON']", 209.8312
8190,EC-3.1.4,"['CPD-10223', 'WATER']","['PROTON', 'CPD-10224', 'UDP']", 2.536377
8191,EC-3.1.4.1,"['L-1-phosphatidyl-inositols', 'WATER']","['DIACYLGLYCEROL', 'D-MYO-INOSITOL-1-MONOPHOSPHATE', 'PROTON']",107.119965
8192,EC-3.1.4.11,"['PHOSPHATIDYL-MYO-INOSITOL-45-BISPHOSPHA', 'WATER']","['DIACYLGLYCEROL', 'INOSITOL-1-4-5-TRISPHOSPHATE', 'PROTON']",84.0813
8193,EC-3.1.4.11,"['CPD-1108', 'WATER']","['DIACYLGLYCEROL', 'INOSITOL-1-4-BISPHOSPHATE', 'PROTON']", 95.600525
8194,EC-3.1.4.12,"['Sphingomyelins', 'WATER']","['Ceramides', 'PHOSPHORYL-CHOLINE', 'PROTON']",128.28632
8195,EC-3.1.4.13,"['All-holo-ACPs', 'WATER']","['PANTETHEINE-P', 'All-apo-ACPs', 'PROTON']",209.83112999999997
8196,EC-3.1.4.14,"['CPD-3707', 'WATER']","['CPD-3706', 'PROTON']",-179.51123
8197,EC-3.1.4.16,"['Cyclic-2-3-Ribonucleoside-Monophosphates', 'WATER']","['3-Phosphomonucleotides', 'PROTON']",-121.0624
8198,EC-3.1.4.16,"['CPD-3709', 'WATER']","['CPD-3708', 'PROTON']", -110.79124499999999
8199,EC-3.1.4.16,"['CPD-3713', 'WATER']","['CPD-3711', 'PROTON']", -179.51126000000002
8200,EC-3.1.4.16,"['CPD-3725', 'WATER']","['CPD-3724', 'PROTON']", -106.31125
8201,EC-3.1.4.17,"['L-1-GLYCERO-PHOSPHORYLCHOLINE', 'WATER']","['PROTON', 'GLYCEROL-3P', 'CHOLINE']",3.7846527
8202,EC-3.1.4.2,"['L-1-GLYCEROPHOSPHORYLETHANOL-AMINE', 'WATER']","['GLYCEROL-3P', 'ETHANOL-AMINE', 'PROTON']",3.7846832000000004
8203,EC-3.1.4.3,"['PLASMENYLCHOLINE', 'WATER']","['1-ALKENYL-2-ACYLGLYCEROL', 'PHOSPHORYL-CHOLINE', 'PROTON']",128.28632
8204,EC-3.1.4.3,"['1-Alkenylglycerophosphoethanolamines', 'WATER']","['1-Alkenyl-glycerol', 'PHOSPHORYL-ETHANOLAMINE', 'PROTON']", 66.65958
8205,EC-3.1.4.3,"['CPD-563', 'WATER']","['1-Alkenyl-glycerol', 'PHOSPHORYL-CHOLINE', 'PROTON']", 128.2863
8206,EC-3.1.4.3,"['PHOSPHATIDYLCHOLINE', 'WATER']","['DIACYLGLYCEROL', 'PHOSPHORYL-CHOLINE', 'PROTON']", 128.28628999999998
8207,EC-3.1.4.35,"['CPD-3707', 'WATER']","['PROTON', 'CPD-3705']",-179.51126000000002
8208,EC-3.1.4.37,"['CPD-3713', 'WATER']","['PROTON', 'CPD-3710']",-179.51126000000002
8209,EC-3.1.4.37,"['CPD-3709', 'WATER']","['PROTON', 'CPD-13025']", -110.79124499999999
8210,EC-3.1.4.37,"['Cyclic-2-3-Ribonucleoside-Monophosphates', 'WATER']","['2-Prime-Ribonucleoside-Monophosphates', 'PROTON']", -121.0624
8211,EC-3.1.4.37,"['CPD-3725', 'WATER']","['PROTON', 'CPD-3723']", -106.31125
8212,EC-3.1.4.38,"['ALKYL-SN-GLYCERO-PHOSPHOETHANOLAMINE', 'WATER']","['ETHANOL-AMINE', '1-Alkyl-sn-glycerol-3-phosphates', 'PROTON']",75.68249499999999
8213,EC-3.1.4.39,"['1-Alkenylglycerophosphoethanolamines', 'WATER']","['1-Alkenyl-phosphoglycerol', 'ETHANOL-AMINE', 'PROTON']",75.68246500000001
