EC-NUMBER,UNIQUE-ID,ERXN-NUMBER,SUBSTRATES,PRODUCTS,GIBBS
EC-1.8.4.M4,"['RXN-19949', 'RXN-20163']","[['ENZRXN-26687'], ['ENZRXN0-8515']]","[['Ox-Thioredoxin', 'Reduced-Disulfide-Isomerases'], ['Ox-thioredoxins-1', 'Protein-Dithiols']]","[['Red-Thioredoxin', 'Disulfide-Isomerase-with-Disulfide-Bond'], ['Red-thioredoxins-1', 'Protein-Disulfides']]","[0.0, 'No-Data']"
EC-1.8.5.1,1.8.5.2-RXN,['ENZRXN-13073'],"['S2O3', 'Quinones']","['CPD-14', 'Reduced-Quinones']",1.9335936999999999
EC-1.8.5.2,RXN-20076,[],"['CPD0-2087', 'Menaquinols']","['PYRIDINE', 'WATER', 'PROTON', 'Menaquinones']",-0.84474945
EC-1.8.5.3,['DIMESULFREDUCT-RXN'],[['DIMESULFREDUCT-ENZRXN']],"[['Menaquinones', 'WATER', 'CPD-7670']]","[['Menaquinols', 'DMSO']]",[-11.225247]
EC-1.8.5.4,RXN-18002,['ENZRXN-25887'],"['HS', 'SO3', 'ETR-Quinones', 'PROTON']","['S2O3', 'ETR-Quinols']",-5.45401
EC-1.8.5.5,['RXN-18001'],[['ENZRXN-13248']],"[['SO3', 'HS', 'Menaquinones', 'PROTON']]","[['S2O3', 'Menaquinols']]",[-5.4540024]
EC-1.8.5.6,RXN-18406,['ENZRXN-25464'],"['CPD-19763', 'GLUTATHIONE']","['236-TRICHLOROHYDROQUINONE', 'OXIDIZED-GLUTATHIONE', 'PROTON']",-6.4382779999999995
EC-1.8.5.7,"['RXN0-7010', 'RXN-18402', 'RXN-18403']","[['ENZRXN0-7604'], [], ['ENZRXN-25465']]","[['CPD0-2511', 'GLUTATHIONE'], ['CPD-19760', 'GLUTATHIONE'], ['CPD-19761', 'GLUTATHIONE']]","[['CPD-16720', 'OXIDIZED-GLUTATHIONE'], ['HYDROQUINONE', 'OXIDIZED-GLUTATHIONE'], ['PROTON', '26-DICHLORO-P-HYDROQUINONE', 'OXIDIZED-GLUTATHIONE']]","[-4.9841614000000005, -4.9841537, -6.4383087]"
EC-1.8.5.8,['RXN-18002'],[['ENZRXN-25887']],"[['HS', 'SO3', 'ETR-Quinones', 'PROTON']]","[['S2O3', 'ETR-Quinols']]",[-5.45401]
EC-1.8.5.M1,RXN-20159,['ENZRXN-26779'],"['a-reduced-DsbA-protein', 'ETR-Quinones']","['an-oxidized-DsbA-protein', 'ETR-Quinols']",No-Data
EC-1.8.5.M6,['RXN-19950'],"[['ENZRXN-26689', 'ENZRXN-26688']]","[['Reduced-Disulfide-Carrier-Proteins', 'ETR-Quinones']]","[['Oxidized-Disulfide-Carrier-Proteins', 'ETR-Quinols']]",[1.3699951000000001]
EC-1.8.7.1,RXN-9944,['ENZRXN-15795'],"['Reduced-ferredoxins', 'Ox-Thioredoxin', 'PROTON']","['Oxidized-ferredoxins', 'Red-Thioredoxin']",-9.900482
EC-1.8.7.2,RXN-18520,"['ENZRXN-25569', 'ENZRXN-25567']","['CPD-1281', 'CoM', 'Oxidized-ferredoxins']","['CPD-1282', 'Reduced-ferredoxins', 'PROTON']",-12.51413
EC-1.8.7.3,1.8.98.1-RXN,['ENZRXN-361'],"['CPD-1281', 'CoM', 'CPD-7323']","['CPD-1282', 'DIHYDROMETHANOPHENAZINE']",38.445586999999996
EC-1.8.98.1,1.8.98.2-RXN,[],"['CPD-7250', 'ATP', 'Protein-Red-Disulfides']","['CPD-7251', 'ADP', 'Pi', 'Protein-Ox-Disulfides', 'PROTON']",70.12634
EC-1.8.98.2,RXN-15618,[],"['HS', 'Oxidized-Factor-F420', 'WATER']","['SO3', 'Reduced-Factor-F420', 'PROTON']",-41.797973999999996
EC-1.8.98.3,RXN-18528,['ENZRXN-25568'],"['CPD-1281', 'CoM', 'Oxidized-Factor-F420', 'Reduced-ferredoxins', 'PROTON']","['CPD-1282', 'Reduced-Factor-F420', 'Oxidized-ferredoxins']",-24.515015
EC-1.8.98.4,RXN-18521,['ENZRXN-25563'],"['CPD-1281', 'CoM', 'Reduced-ferredoxins', 'PROTON']","['CPD-1282', 'HYDROGEN-MOLECULE', 'Oxidized-ferredoxins']",31.529388
EC-1.8.98.5,RXN-18529,['ENZRXN-25573'],"['CPD-1281', 'CoM', 'Reduced-ferredoxins', 'CARBON-DIOXIDE']","['CPD-1282', 'FORMATE', 'Oxidized-ferredoxins']",19.541138
EC-1.8.98.6,RXN-6703,[],"['CPD-6401', 'HS', 'Acceptor']","['Donor-H2', 'CPD-6403']",No-Data
EC-1.8.99,ADENYLYLSULFATE-REDUCTASE-RXN,"['ENZRXN-18440', 'ENZRXN-13165', 'ENZRXN-13112', 'ENZRXN-13109', 'ENZRXN-13074', 'ENZRXN-13068', 'ENZRXN-13063', 'ENZRXN-321']","['SO3', 'AMP', 'Acceptor', 'PROTON']","['APS', 'Donor-H2']",No-Data
EC-1.8.99.2,RXN-11944,['ENZRXN-18429'],"['DsrC-persulfides', 'WATER', 'Acceptor']","['SO3', 'DsrC-disulfide-form', 'Donor-H2', 'PROTON']",No-Data
EC-1.8.99.5,"['RXN-17803', 'RXN-17805', 'HYDROGENSULFITE-REDUCTASE-RXN']","[['ENZRXN-13249', 'ENZRXN-13167', 'ENZRXN-12947', 'ENZRXN-13205', 'ENZRXN-13062'], ['ENZRXN-24876'], ['ENZRXN-322']]","[['DsrC-trisulfides', 'WATER', 'Acceptor'], ['S2O3', 'Acceptor', 'WATER'], ['CPD-552', 'Acceptor', 'WATER']]","[['SO3', 'DsrC-L-Cysteine', 'Donor-H2', 'PROTON'], ['SO3', 'Donor-H2', 'PROTON'], ['SO3', 'Donor-H2', 'PROTON']]","['No-Data', 'No-Data', 'No-Data']"
EC-1.9.3.1,['CYTOCHROME-C-OXIDASE-RXN'],"[['ENZRXN3O-130', 'ENZRXN-8988']]","[['OXYGEN-MOLECULE', 'PROTON', 'Cytochromes-C-Reduced']]","[['PROTON', 'WATER', 'Cytochromes-C-Oxidized']]",[-74.181046]
EC-1.9.6.1,IRON--CYTOCHROME-C-REDUCTASE-RXN,[],"['FE+3', 'Cytochromes-C-Reduced']","['FE+2', 'Cytochromes-C-Oxidized']",-15.253529
EC-1.9.98.1,RXN-11498,['ENZRXN-17906'],"['CPD0-1385', 'Donor-H2']","['CHLORITE', 'WATER', 'Acceptor', 'PROTON']",No-Data
EC-1.97.1,"['RXN-15119', 'RNTRACTIV-RXN']","[['ENZRXN0-7805', 'ENZRXN0-7806', 'ENZRXN0-8431'], ['RNTRACTIV-ENZRXN']]","[['CPD-4544', 'Donor-H2'], ['S-ADENOSYLMETHIONINE', 'Ribonuc-tri-P-reductases-inactive', 'Reduced-flavodoxins']]","[['CPD-16009', 'Acceptor'], ['Ribonuc-tri-P-reductases-active', 'CH33ADO', 'MET', 'Flavodoxins-Semiquinones', 'PROTON']]","['No-Data', -17.658913000000002]"
EC-1.97.1.1,RXN-15479,"['ENZRXN490-3610', 'ENZRXN-1402', 'ENZRXN-1243', 'ENZRXN-19027', 'ENZRXN-19833']","['Oxidized-Plastocyanins', 'Reduced-ferredoxins']","['Light', 'Plastocyanin-Reduced', 'Oxidized-ferredoxins']",No-Data
EC-1.97.1.12,1.97.1.2-RXN,['ENZRXN-325'],"['1235-TETRAHYDROXYBENZENE', 'PYROGALLOL']","['1235-TETRAHYDROXYBENZENE', 'CPD-16']",0.0
EC-1.97.1.2,TDCEACT-RXN,"['ENZRXN-21062', 'ENZRXN-12682']","['S-ADENOSYLMETHIONINE', 'Formate-acetyltransferase-glycine', 'Reduced-flavodoxins']","['Formate-acetyltrans-glycine-radical', 'CH33ADO', 'MET', 'Flavodoxins-Semiquinones', 'PROTON']",-17.658913000000002
EC-1.97.1.4,RXN0-2101,['ENZRXN0-7209'],"['SELENITE', 'WATER', 'Acceptor']","['SELENATE', 'Donor-H2']",No-Data
EC-1.97.1.9,RXN-10881,[],"['S-ADENOSYLMETHIONINE', 'Demethylmenaquinones']","['Menaquinones', 'ADENOSYL-HOMO-CYS', 'PROTON']",-41.182266
